310,"Le nubi stratiformi, anche di notevole spessore (tipicamente Nembostrati più o meno accompagnati da Altostrati e Strati) sono generalmente associate al passaggio di:",[0/0]un fronte freddo.,[1/0]un fronte caldo.,[0/0]un fronte caldo o freddo su rilievi montuosi.,

311,Che cosa s’intende per fronte occluso?,[1/0]una perturbazione complessa formata dall’insieme di un fronte freddo che ha raggiunto un fronte caldo e che da luogo a tutti i fenomeni meteorologici caratteristici di entrambi i fronti.,[0/0]una perturbazione a carattere freddo che in effetti dà luogo anche a tutti i fenomeni meteorologici tipici di quelle a carattere caldo.,[0/0]una perturbazione a carattere caldo che in effetti dà luogo anche a tutti i fenomeni meteorologici tipici di quelle a carattere freddo.,

312,"In base alla classificazione convenzionale delle nubi, sono considerate nubi del livello basso:","[0/0]Strati, Nembostrati, Cirrostrati.","[1/0]Strati, Stratocumuli.","[0/0]Cumuli, Cirrocumuli, Stratocumuli, Cumulonembi.",

313,"In base alla classificazione convenzionale delle nubi, sono considerate nubi del livello medio:",[1/0]Altostrati e Altocumuli.,[0/0]Cumulonembi e Altostrati.,"[0/0]Altostrati, Altocumuli e Cirrocumuli.",

314,"In base alla classificazione convenzionale delle nubi, sono considerate nubi del livello alto:",[0/0]Altocumuli e Altostrati.,[0/0]Altocumuli e Cumulonembi.,"[1/0]Cirri, Cirrostrati e Cirrocumuli.",

315,A quale famiglia di nubi appartengono i Cumuli?,[1/0]nubi a sviluppo verticale o convettive.,[0/0]nubi medie a sviluppo verticale.,[0/0]nubi basse a sviluppo verticale.,

316,Come può essere definito il Cumulo congesto?,[1/0]un Cumulo in fase evolutiva avanzata caratterizzato da un elevato sviluppo verticale.,[0/0]un Cumulo di tipo particolare in fase iniziale di formazione.,[0/0]un Cumulo che non riesce a svilupparsi completamente e a scaricare l’energia termodinamica accumulata.,

317,Che cosa è un Cumulonembo?,[0/0]un particolare tipo di Cumulo la cui base è piatta e densa appunto come un Nembostrato.,"[1/0]una nube cumuliforme al culmine della sua fase evolutiva, caratterizzata dalla violenza dei fenomeni meteorologici a essa associati quali: precipitazioni a carattere temporalesco, fenomeni elettrostatici, formazioni di ghiaccio e wind shear verticale ed orizzontale.","[0/0]un particolare tipo di Cumulo, capace di generare fenomeni temporaleschi, che si forma esclusivamente in zone montuose d’estate al passaggio di una perturbazione a carattere freddo.",

318,In relazione al Volo Libero il Cumulonembo può essere considerato come:,[0/0]una nube di grande utilità per il volo.,[1/0]una nube decisamente pericolosa per il volo.,[0/0]una nube che non riveste alcuna importanza ai fini del volo.,

319,Qual è la sequenza tipica di sviluppo delle nubi convettive?,"[0/0]Strato, Altocumulo, Cumulonembo, Cumulo.","[0/0]Nembostrato, Stratocumulo, Cumulonembo, Cumulo.","[1/0]Cumulo di ridotte dimensioni, Cumulo congesto, Cumulonembo.",

320,"La presenza di nubi stratificate è positiva ai fini del Volo Libero, per la possibilità di correnti ascensionali?","[0/0]si, in quanto sono possibili voli di distanza.","[0/0]sì, ma purtroppo sono associate a condizioni di scarsa visibilità.",[1/0]praticamente no.,

321,"La presenza di dense nubi stratificate a varie quote, esclude la possibilità che vi siano anche formazioni nuvolose cumuliformi consistenti?","[0/0]sì, perché le nubi stratificate sono sintomo di fronte caldo nel quale non è possibile incontrare nubi convettive.","[0/0]no, perché l’aumento di temperatura dovuto al fronte caldo cui sono associate le nubi stratificate può dar luogo a sollevamento di aria con conseguente formazione di nubi a carattere convettivo.","[1/0]no, perché le nubi stratificate potrebbero essere dovute al passaggio di un fronte occluso che può dar luogo altresì al formarsi di nubi convettive ed addirittura a carattere temporalesco.",

322,"Quando un forte vento in quota interessa zone montuose, sovente s’innesca un fenomeno ondulatorio che è caratterizzato dalla presenza di:",[0/0]nubi stratificate alte del genere Cirrocumuli che tendono a stratificarsi in Cirrostrati per poi evolvere in Cumuli evidenziando il fenomeno ondulatorio.,"[0/0]nubi stratificate basse del genere Strato, indice di moti ondulatori.","[1/0]nubi lenticolari (in genere Altocumuli, ma talvolta anche Stratocumuli e/o Cirrocumuli) e nubi rotoriche (Cumulus fractus) che evidenziano il fenomeno dell’onda orografica.",

323,Una delle caratteristiche delle nubi lenticolari è:,"[1/0]la tipica forma a sezione aerodinamica, simile a quella di una mandorla.","[0/0]il loro sviluppo verticale, nettamente superiore a quello orizzontale.",[0/0]la velocità di spostamento della nube.,

324,Oltre al vento di gradiente è tipica del microclima di zone vallive e montuose la presenza di:,[0/0]brezze di monte la sera e brezze di valle il mattino.,"[1/0]brezze di monte durante la notte e il mattino presto, brezze di valle durante le ore calde della giornata.","[0/0]brezze che variano d’intensità e direzione in funzione del luogo, ma sono costanti a tutte le ore del giorno e della notte.",

325,"In zone marittime durante la giornata, a causa del diverso riscaldamento delle superfici acquee rispetto alle superfici terrestri, si generano:","[1/0]brezze dal mare durante le ore calde della giornata, e viceversa durante la notte.",[0/0]brezze da terra durante le ore calde della giornata e viceversa durante la notte.,[0/0]solo brezze dal mare durante le ore calde della giornata e non viceversa durante la notte.,

326,Generalmente le brezze di valle danno luogo a correnti di pendio anche sui versanti laterali delle valli stesse?,"[1/0]si, dipendentemente dalla morfologia del terreno.","[0/0]si, indipendentemente dalla morfologia del terreno.","[0/0]no, in nessun caso.",

327,E’ possibile che durante la giornata a causa della brezza di valle si formino nubi cumuliformi anche imponenti?,"[1/0]si, perché la brezza solleva aria lungo i pendii montuosi causando possibili fenomeni nuvolosi da sollevamento che in condizioni d’instabilità possono essere anche imponenti.","[0/0]si, perché la brezza si riscalda per attrito col terreno, quindi inizia a salire se in regime d’instabilità causando quindi possibili fenomeni nuvolosi da sollevamento.","[0/0]no, i regimi di brezza non danno mai luogo a fenomeni di sollevamento e condensazione.",

328,Può una brezza di valle essere tanto forte da costituire un rischio per i praticanti del Volo Libero?,"[0/0]si, particolarmente in corrispondenza delle creste spartiacque.","[1/0]si, particolarmente in corrispondenza di strozzature o svolte a gomito della valle e del fondo valle stesso, per effetto Venturi.","[0/0]no, per nessun motivo.",

329,Quando un forte vento impatta di traverso una cresta o un crinale:,[0/0]l’aria sottovento a essi è in sostanza calma.,[0/0]l’aria sopravvento a essi è certamente vorticosa e turbolenta.,[1/0]sottovento ad essi è certa la presenza di rotori e turbolenza.,

330,Quando una valle è investita da vento forte la cui direzione è in sostanza parallela a quella del suo asse ci possiamo attendere:,[0/0]vento forte a scorrimento laminare.,[1/0]vento forte anche a raffiche con presenza di rotori con asse pressoché parallelo alle linee di massima pendenza dei pendii laterali della valle stessa.,[0/0]vento forte in presenza di rotori di diametro minimo con asse generalmente parallelo all’asse della valle stessa.,

331,Quando una valle è interessata da vento forte la cui direzione forma un angolo superiore a 45° rispetto al suo asse ci possiamo attendere:,"[0/0]vento quasi calmo lungo i pendii vallivi, ma forte al fondo valle.","[1/0]vento a raffiche dovunque, con direzione improvvisamente variabile, sintomo della presenza di rotori stazionari e migratori.",[0/0]vento anche forte ma a scorrimento laminare con direzione costante.,

332,"Se un rilievo isolato e tondeggiante è investito dal vento, si genereranno facilmente correnti ascensionali?","[0/0]si, perché il vento è costretto comunque a scavalcare l’ostacolo.",[0/0]dipende unicamente dalla natura del terreno.,"[1/0]no, perché il vento tende comunque ad aggirare l’ostacolo.",

333,E’ possibile che un rotore che si forma per effetto del vento in corrispondenza di un crinale o una cresta spartiacque dia luogo ad ascendenza costante o quasi?,"[0/0]no, in nessun caso.","[0/0]sì, ma solo sul versante sopravento.","[1/0]sì, anche nel versante sottovento se il rotore è pressoché stazionario e interessa il pendio con la sua parte ascendente.",

334,La presenza di rotori sul pendio assolato di un versante vallivo situato in sottovento:,[1/0]facilita il distacco di termiche anche consistenti e violente dette appunto “di sottovento”.,[0/0]non ha nulla a che a vedere con l’attività termica del pendio.,[0/0]impedisce il distacco di ogni tipo di termica.,

335,A volte la presenza di rotori di sottovento specialmente in corrispondenza di crinali e creste elevate è segnalata:,[0/0]da formazioni nuvolose dotate di grande velocità di spostamento.,[0/0]da una particolare foschia nelle zone adiacenti il pendio sottovento.,[1/0]dalla presenza di nubi rotoriche stazionarie che si formano e si dissolvono continuamente e velocemente.,

336,"Quando una catena montuosa è interessata dall’avvezione di una massa d’aria molto umida che tende a scavalcarla, si determinano particolari fenomeni detti:","[1/0]Stau sopravento con pesanti formazioni nuvolose e conseguenti precipitazioni, Foehn sottovento con vento a raffiche più caldo e secco.","[0/0]Foehn sopravento con vento a raffiche caldo e secco, Stau sottovento con pesanti formazioni nuvolose e conseguenti precipitazioni.","[0/0]Stau e Foehn, con uguali conseguenze meteorologiche e climatiche sopravento e sottovento.",

337,"Nelle zone alpine del versante italiano, alla presenza del fenomeno di Foehn, sarà presente:","[0/0]aumento della temperatura, forte vento laminare caldo e secco, assenza di rotori e turbolenza.","[1/0]aumento della temperatura, forte vento a raffiche caldo e secco, presenza di rotori e turbolenza.","[0/0]aumento della temperatura, forte vento laminare caldo e umido, assenza di rotori e turbolenza.",

338,In presenza di una catena montuosa alta 3000 m aria umida ad una temperatura di pianura di 10° C si solleva dando luogo allo Stau sino in cresta e al Foehn in sottovento. Se la quota di condensazione sopravvento è di 1000 m quale sarà la temperatura dell’aria all’arrivo in pianura appena sotto alla catena montuosa?,"[0/0]la stessa che sopravvento, cioè 10° C.",[0/0]13° C.,[1/0]circa 20° C.,

339,Alla presenza di una catena montuosa alta 3000 m aria umida ad una temperatura di pianura di 10° C si solleva dando luogo a Stau sino in cresta e Foehn sottovento. Se la quota di condensazione sopravento è di 2000 m quale sarà la temperatura dell’aria all’arrivo in pianura appena sotto alla catena montuosa?,"[0/0]la stessa che sopravvento, cioè 10° C .",[1/0]circa 15° C.,[0/0]20° C.,

340,"Quale tipo di microclima può avere una località posta immediatamente sottovento a una catena montuosa come quella alpina, rispetto a spostamenti di masse d’aria d’origine atlantica provenienti abitualmente dalla pianura francese?",[1/0]piuttosto siccitoso e ventoso a causa dei fenomeni di Foehn.,[0/0]molto umido e piovoso.,[0/0]molto più freddo di quello esistente immediatamente sopravento.,

341,Che cos’è l’altimetro?,[0/0]è lo strumento che misura sempre la distanza di un apparecchio dal suolo.,[0/0]è lo strumento che misura la velocità verticale di un apparecchio.,"[1/0]è lo strumento che misura l’altitudine di un apparecchio rispetto ad un punto noto come, ad esempio, il livello del mare.",

342,Come funziona normalmente un altimetro?,"[1/0]misura la pressione atmosferica e quindi l’altitudine, utilizzando una capsula aneroide o un sensore elettronico.",[0/0]misura l’elevazione sul livello del mare utilizzando un sensore elettronico.,[0/0]misura la velocità verticale rispetto all’aria utilizzando un sensore elettronico.,

343,Per quale motivo un altimetro necessita di regolazioni?,[0/0]perché la temperatura dell’aria varia in relazione alle condizioni atmosferiche ed al variare dell’altitudine.,[1/0]perché la pressione atmosferica varia in relazione alle condizioni atmosferiche e non solo in relazione all’ altitudine.,[0/0]perché la pressione atmosferica varia al variare dell’altitudine.,

344,"Dopo aver regolato l’altimetro all’altitudine di decollo, effettuiamo il volo. Se all’atterraggio esso ci indica un’altitudine diversa da quella conosciuta, cosa può essere accaduto?",[1/0]la pressione atmosferica è cambiata.,[0/0]l’altimetro si è sicuramente guastato.,[1/0]la temperatura dell’aria è cambiata.,

345,"Se regoliamo il nostro altimetro in base alla pressione presente al livello del mare (QNH), andando in volo potremo conoscere:",[0/0]l’altezza geometrica sul terreno sottostante.,[1/0]l’altitudine sul livello medio del mare.,[0/0]l’elevazione sul livello medio della terra.,

346,Cosa è il variometro?,[1/0]è lo strumento che in volo misura la velocità verticale.,[0/0]è lo strumento che in volo misura le altitudini rispetto al livello del mare.,[0/0]è lo strumento che in volo misura la velocità all’aria.,

347,Come funziona un variometro?,[0/0]misura la variazione istantanea della temperatura dell’aria a mezzo di un dispositivo elettronico.,[1/0]misura le variazioni anche minime di pressione atmosferica a mezzo di un barometro differenziale o di un sensore elettronico.,[0/0]misura le variazioni di pressione atmosferica a mezzo di un barometro a colonna.,

348,In quali situazioni l'uso di un variometro può essere di grande aiuto per la sicurezza in volo?,"[1/0]ad esempio, volando con copertura nuvolosa o sotto un cumulo, le indicazioni del variometro ci possono aiutare a capire se c'è aspirazione e se è il caso o meno di affrettare la discesa verso l'atterraggio o dirigersi verso zone non soggette al fenomeno.","[0/0]nel volo di dinamica, in quanto ci aiuta a capire dove si sale meglio, permettendoci di prolungare il volo senza rischi.","[0/0]non è uno strumento da considerare utile ai fini della sicurezza del volo, ma solo come ausilio per il veleggiamento.",

349,Che cosa può misurare l'anemometro durante un volo?,[1/0]è lo strumento che in volo misura la velocità all’aria.,[0/0]è lo strumento che in volo misura la velocità al suolo.,[0/0]è lo strumento che in volo misura la velocità verticale.,

350,Come funziona un anemometro?,[0/0]misura la pressione statica di cui è dotato il vento relativo traducendola in indicazione di velocità.,[0/0]misura direttamente l’energia cinetica di cui è dotato il vento relativo traducendola in calore.,"[1/0]misura la pressione dinamica di cui è dotato il vento relativo oppure la sua velocità mediante dispositivi meccanici (elichette intubate, etc.).",

351,In quale caso l’anemometro può indicare la velocità al suolo con buona approssimazione?,"[1/0]quando il volo è effettuato in aria calma, in assenza di vento e su traiettoria poco inclinata.","[0/0]in tutti i casi, indipendentemente dalla traiettoria.",[0/0]in nessun caso.,

352,Che cosa è la bussola?,[1/0]è lo strumento che indica la direzione del Nord magnetico.,[0/0]è lo strumento che indica la direzione del Nord geografico.,[0/0]è lo strumento che indica la direzione del Sud geografico.,

353,Come funziona la bussola?,[0/0]rileva mediante una calamita la posizione in cui si trova il Nord geografico.,[1/0]rileva mediante una calamita la direzione del campo magnetico terrestre e il Nord magnetico.,[0/0]rileva mediante un sistema meccanico la direzione dei meridiani terrestri.,

354,A cosa si deve prestare attenzione se vogliamo che la bussola funzioni nel modo più corretto possibile posizionandola tra gli strumenti?,"[0/0]a nulla in particolare, la bussola indica sempre il nord magnetico.",[0/0]a installarla in modo che il Nord magnetico coincida con il nord geografico.,"[1/0]all'interferenza elettromagnetica con altri apparati elettronici, tipo radiotrasmittenti e, soprattutto, apparecchi telefonici cellulari, che, entrando in funzione, possono disturbare il campo elettromagnetico influenzando l'ago della bussola.",

355,E’ possibile affermare che il Nord geografico coincide con il Nord magnetico?,[0/0]si.,[0/0]dipende dalle stagioni dell’anno.,[1/0]no.,

356,"Con bussola, altimetro, anemometro e variometro è possibile effettuare attività vololiberistica in condizioni di volo strumentale, ad esempio in nube?","[0/0]si, se adeguatamente addestrati.","[0/0]si, ma solo per breve tempo, perché la dotazione di strumenti non risulta completa.","[1/0]no, la dotazione di strumenti non è affatto completa, manca l’informazione di posizione nello spazio.",

357,"Durante il volo, che cosa ci permette di misurare il GPS?",[1/0]la velocità al suolo.,[0/0]la velocità all'aria.,[0/0]l'umidità relativa.,

358,Con il GPS è possibile volare con tranquillità nelle nubi?,"[0/0]si, in quanto il GPS indica la direzione in cui mi sto muovendo con esattezza.","[1/0]no, anche perchè nella nube la ricezione del segnale inviato dai satelliti GPS può essere disturbata, rendendo inaffidabile lo strumento.","[0/0]si, ma solo se affianchiamo al GPS una bussola di tipo nautico.",

359,"Stiamo volando in presenza di vento molto forte. La nostra prua è diretta verso SUD. Sul display del GPS leggiamo una velocità di 3 km/h, direzione NORD. Cosa succede?",[0/0]lo strumento è evidentemente rotto.,[1/0]se sono sicuro di avere la prua diretta verso SUD evidentemente sto volando all'indietro. Il vento è superiore alla mia velocità all'aria e occorre aumentare la velocità prima possibile.,[0/0]non è possibile che si verifichi una situazione del genere.,

360,Come funziona un GPS?,[0/0]Calcola la posizione nello spazio mediante un sensore di movimento.,[1/0]Calcola la posizione nello spazio mediante il confronto dei segnali orari inviati da alcuni satelliti in orbita intorno alla terra.,[0/0]Calcola la posizione nello spazio per mezzo di un barometro differenziale. ,

361,Prima di recarsi al decollo in atterraggio è necessario:,[0/0]verificare le condizioni del terreno.,"[1/0]verificare le condizioni del terreno e del vento, mettere una manica a vento se non c’è.",[0/0]lasciare in atterraggio mezzi e/o persone per il recupero dopo il volo.,

362,"Prima di intraprendere un volo di Cross-Country è necessario, oltre a tutto il resto:","[0/0]nutrirsi adeguatamente, bere molto per evitare disidratazione, organizzare il recupero, dotarsi di mezzi per trascorrere eventualmente la notte all'addiaccio.","[0/0]provvedere a che il volo si svolga il mattino, più presto possibile, per disporre di più ore di luce.","[1/0]esaminare la carta aeronautica della zona, prendere nota di eventuali divieti e delle possibilità di atterraggio lungo il percorso, nonché fare un'attenta valutazione delle condizioni meteorologiche.",

363,"Quale inclinazione del pendio, assicurata la possibilità di una graduale e corretta rincorsa, è da considerarsi ottimale e sicura per il decollo?","[1/0]oltre i 20° e sino a 35°, risultando già così nettamente superiore alla pendenza della traiettoria di volo realizzabile.","[0/0]dai 35° ai 45°, in quanto solo così risulta nettamente superiore alla pendenza della traiettoria di volo realizzabile.","[0/0]oltre i 45°, per ottenere un rapido distacco dal terreno con garanzia di sorvolo degli ostacoli sulla traiettoria.",

364,Con quale tipo di corsa si deve effettuare il decollo in deltaplano e parapendio?,[0/0]con falcata corta ed a velocità costante.,[1/0]con falcata e velocità crescenti.,[0/0]con falcata corta e rapida presa di velocità.,

365,"Qual è in fase di decollo con deltaplano e parapendio, la prima manovra da eseguire appena staccati da terra oltre a quelle finalizzate al controllo della direzione?","[0/0]cabrare o trazionare i comandi rispettivamente, per non perdere eccessiva quota.",[0/0]sistemarsi adeguatamente nell’imbrago.,"[1/0]picchiare leggermente o rilasciare un poco i freni rispettivamente, per acquisire velocità.",

366,"Come è possibile ottenere, a prescindere da altre condizioni, il minor tasso di caduta possibile con deltaplano e parapendio?",[0/0]volando in linea retta ed all’incidenza massima consentita.,[0/0]volando comunque al regime di massima efficienza in aria calma.,[1/0]volando in linea retta ad una incidenza compresa tra quella di massima efficienza in aria calma e quella di stallo.,

367,Come varia l’efficienza all’aria di un’ala aumentando il vento frontale?,[0/0]aumenta.,[0/0]diminuisce.,[1/0]non varia perché l’efficienza all’aria dipende solo dall’angolo d’incidenza dell’ala.,

368,Se vogliamo comunque realizzare la massima autonomia chilometrica in deltaplano o parapendio dovremo:,[0/0]limitare al massimo le manovre.,[1/0]volare più possibile in linea retta ed al regime di massima efficienza al suolo.,[0/0]volare più possibile in linea retta ed al regime di minimo tasso di caduta.,

369,"Se, in determinate condizioni aerologiche, vogliamo rimanere più tempo possibile in volo realizzando la massima autonomia oraria, dovremo:",[0/0]limitare al massimo le manovre.,[0/0]volare più possibile in linea retta ed al regime di massima efficienza all’aria.,[1/0]volare più possibile in linea retta ed al regime di minimo tasso di caduta ottenibile.,

370,"Passando da condizioni di aria calma a condizioni di vento frontale, quale correttivo dobbiamo apportare alla velocità per garantirci la massima efficienza al suolo possibile?",[0/0]diminuire la velocità rispetto a quella di massima efficienza in aria calma.,[1/0]aumentare la velocità rispetto a quella di massima efficienza in aria calma.,[0/0]aumentare comunque la velocità sino alla massima possibile.,

371,"Volando in deltaplano o parapendio sappiamo che l’efficienza al suolo, quando il vento frontale varia, comunque:",[1/0]varia.,"[0/0]varia, ma solo se il vento frontale aumenta.",[0/0]rimane invariata.,

372,L’efficienza al suolo:,[0/0]diminuisce al diminuire del vento frontale.,[1/0]diminuisce all’aumentare del vento frontale.,[0/0]aumenta all’aumentare del vento frontale.,

373,In condizioni di ascendenza la massima efficienza al suolo si realizza volando:,[1/0]con una incidenza maggiore di quella corrispondente al regime di massima efficienza in aria calma.,[0/0]con una incidenza minore di quella corrispondente al regime di massima efficienza in aria calma.,[0/0]comunque con l’incidenza corrispondente al regime di massima efficienza in aria calma.,

374,In condizioni di discendenza la massima efficienza al suolo si realizza volando:,[1/0]con una incidenza minore di quella corrispondente al regime di massima efficienza in aria calma.,[0/0]con una incidenza maggiore di quella corrispondente al regime di massima efficienza in aria calma.,[0/0]comunque con l’incidenza corrispondente al regime di massima efficienza in aria calma.,

375,Stiamo volando ad una velocità rispetto al suolo di 10 km/h. C’è una componente di vento contrario pari a 30 km/h. Se avessimo l’anemometro quanto indicherebbe?,[0/0]10 km/h.,[0/0]20 km/h.,[1/0]40 km/h.,

376,Stiamo volando ad una velocità rispetto al suolo di 60 km/h. C’è una componente di vento a favore pari a 30 km/h. Se avessimo l’anemometro quanto indicherebbe?,[0/0]90 km/h.,[1/0]30 km/h.,[0/0]40 km/h.,

377,A quale scopo si utilizza l’acceleratore in parapendio?,[1/0]per aumentare l’efficienza suolo in condizioni di vento contrario.,[0/0]per aumentare il tasso di caduta e ridurre la velocità orizzontale.,[0/0]per aumentare l’angolo di assetto in condizioni di turbolenza.,

378,"In presenza di vento meteorologico, come si esegue una virata di 360° la cui traccia al suolo sia più possibile circolare?",[1/0]variando opportunamente l’inclinazione dell’ala durante la virata in funzione della deriva dovuta allo spostamento dell’aria rispetto al suolo.,[0/0]accentuando l’inclinazione laterale dell’ala durante la fase della virata con vento in prua.,[0/0]diminuendo l’inclinazione laterale dell’ala durante le fasi della virata con vento al traverso.,

379,"Come si eseguono le virate in dinamica di pendio ed in prossimità dello stesso, se si vuole avere il miglior rendimento garantendosi il massimo della sicurezza?",[0/0]eseguendo virate strette di 360° nel punto in corrispondenza del quale è massima l’ascendenza.,[0/0]eseguendo lunghi “otto” con inversioni di 180° ad alti angoli di inclinazione per rimanere in virata meno possibile.,[1/0]utilizzando la tecnica “a granchio” che consente di eseguire degli “otto” sul pendio evitando di assumere elevati angoli di rollio.,

380,Perché si fanno virate di 360° in termica?,[0/0]perché le termiche hanno sempre e solo un andamento ascendente elicoidale.,[1/0]per potersi mantenere all’interno della corrente ascensionale.,"[0/0]perché in virata continua, il tasso di caduta risulta essere minore.",

381,"Per sfruttare meglio le condizioni il pilota, entrato in termica o in dinamica:",[1/0]interviene sui comandi per ridurre la velocità.,[0/0]interviene sui comandi per aumentare la velocità.,[0/0]non interviene più sui comandi per variare il regime di volo.,

382,È possibile andare in stallo volando a velocità prossima alla massima?,[0/0]no.,"[0/0]si, se si diminuisce improvvisamente l’incidenza.","[1/0]si, se si aumenta improvvisamente l’incidenza oltre certi valori.",

383,A quale velocità è opportuno volare in forte turbolenza?,[0/0]alla minima possibile per ridurre le sollecitazioni nel delta e per garantire la massima pressione nei cassoni del parapendio.,[0/0]alla massima possibile indipendentemente dalle sollecitazioni per uscirne al più presto.,[1/0]ad una velocità di poco superiore a quella di massima efficienza in aria calma in delta ed alla massima compatibile con il mantenimento di adeguata pressione nei cassoni in parapendio.,

384,Come si determina dal volo la direzione del vento al suolo in assenza di manica a vento?,"[1/0]osservando ogni cosa che il vento può mettere in movimento (fumo, bandiere, panni appesi, alberi) e considerando l’eventuale presenza di deriva.","[0/0]osservando il segnavento del deltaplano o del parapendio se istallato, o valutando l’intensità del vento relativo in varie direzioni di volo.",[0/0]osservando il movimento delle nubi che è sempre possibile mettere in relazione con il vento al suolo.,

385,Che cosa si intende per circuito di avvicinamento ad “otto”?,[0/0]un tipo di avvicinamento che consente al pilota di effettuare poche virate per arrivare in atterraggio.,"[1/0]un tipo di avvicinamento che, con virate di oltre 180° sempre verso la superficie di atterraggio, consente al pilota di perdere quota mantenendosi costantemente in prossimità ed in vista di esso.",[0/0]un tipo di avvicinamento che consente al pilota di perdere quota facendo delle virate molto strette pur di mantenersi in prossimità dell’atterraggio.,

386,Che cosa si intende per circuito a “C” o aeronautico?,"[1/0]un tipo di avvicinamento composto da tre fasi distinte dette “sottovento”, “base” o “virata base” e “finale” che consente di arrivare al suolo con buona precisione evitando di fare molte manovre vicino al terreno.","[0/0]un tipo di avvicinamento molto complesso, costituito da molte fasi distinte e caratterizzato da manovre da farsi vicino al suolo.",[0/0]un tipo di avvicinamento valido solo per gli aeromobili e quindi non adatto al deltaplano ed al parapendio.,

387,L’area di atterraggio è molto frequentata. Se le altre condizioni lo permettono scegliamo di atterrare:,[0/0]effettuando un circuito di avvicinamento ad “otto”.,[1/0]effettuando un circuito di avvicinamento a “C”.,[0/0]effettuando un avvicinamento diretto con delle “esse” in finale.,

388,"In un atterraggio in cui si presentano contemporaneamente molti deltaplani e parapendio, sarà opportuno:",[1/0]impostare gli avvicinamenti con la tecnica a “C” rispettando le precedenze ed avviandosi all’atterraggio quando si è più in basso degli altri.,[0/0]impostare gli avvicinamenti con la tecnica a “otto” rispettando le precedenze ed avviandosi all’atterraggio quando si è più in basso degli altri.,[0/0]impostare gli avvicinamenti con l’una o l’altra tecnica fatto salvo il rispetto delle precedenze.,

389,Quando è necessario tenere particolarmente conto del gradiente del vento?,[0/0]volando in termica.,[1/0]in atterraggio o durante il volo in prossimità del pendio.,[0/0]in decollo perché la velocità del vento sicuramente diminuisce allontanandosi dal suolo.,

390,"Effettuando un avvicinamento con circuito a “C” in condizioni di vento sostenuto, è necessario iniziare la virata base:",[0/0]ben oltre il traverso del punto di contatto.,[0/0]non al di sopra dei 50 m di quota.,[1/0]non troppo oltre il traverso del punto di contatto.,

391,"Se, per errore, l’asse prescelto dal pilota per effettuare una serie di “otto” in avvicinamento è troppo prossimo al punto di contatto, per non mancare l’atterraggio il rischio è quello di dover:",[0/0]iniziare la virata in finale a quota molto alta.,[0/0]effettuare il tratto finale su una traiettoria molto ripida.,[1/0]effettuare la virata in finale a quota molto bassa.,

392,Durante la fase finale dell’atterraggio con vento forte in deltaplano o parapendio il pilota deve:,"[1/0]attendersi una traiettoria ripida, aumentare la velocità all’aria al massimo per minimizzare l’effetto del gradiente del vento o del wind shear, raccordare moderatamente e solo in prossimità del suolo.","[0/0]cercare di assumere la traiettoria più ripida possibile mantenendo la velocità di minimo tasso di caduta, in previsione del gradiente di vento raccordare moderatamente e solo in prossimità del suolo.",[0/0]indipendentemente dalla traiettoria che ne risulta mantenere la minima velocità all’aria possibile e stallare non appena si incontrano condizioni di gradiente del vento.,

393,Per effetto del gradiente del vento vicino al suolo in atterraggio il pilota deve attendersi:,[1/0]un aumento improvviso del tasso di caduta con probabile picchiata del mezzo che è possibile prevenire con una buona dose di velocità.,[0/0]una improvvisa diminuzione di velocità al suolo per l’aumentata componente di vento contrario che non crea problemi di pilotaggio.,[0/0]una perdita improvvisa di quota che non si può compensare aumentando decisamente l’incidenza.,

394,Il mantenimento della massima velocità in finale prima di iniziare a raccordare è necessario per:,[0/0]poter stallare meglio in prossimità del suolo.,[1/0]evitare gli effetti negativi di eventuale gradiente del vento o wind shear.,[0/0]avvicinarsi al terreno con una traiettoria più ripida.,

395,"Il vento in atterraggio è sostenuto, volando in deltaplano o parapendio, per aumentare il margine di sorvolo di eventuali ostacoli lungo la traiettoria, al pilota conviene tra le seguenti soluzioni:",[1/0]aumentare la velocità all’aria perché solo così facendo si ottiene la massima efficienza suolo possibile e quindi la minor pendenza di traiettoria reale.,[0/0]diminuire la velocità all’aria onde ottenere il minimo tasso di caduta possibile.,[0/0]volare comunque al regime di massima efficienza in aria calma per ottenere la minor pendenza di traiettoria.,

396,Quando è necessario controllare che i cordini del parapendio non siano attorcigliati o aggrovigliati?,"[0/0]dopo aver gonfiato, sollevato e frenato quanto basta l’ala in fase di decollo.",[0/0]subito dopo essere atterrati prima di riporre il parapendio.,[1/0]durante la preparazione dell’ala per il decollo.,

397,Durante un volo di cross non sempre è possibile atterrare dove previsto. Il pilota dovrebbe conoscere perfettamente:,[1/0]La tecnica per atterrare senza inconvenienti in un preciso punto di un pendio o una superficie ridotta.,[0/0]Le tecniche di sopravvivenza in montagna per salvaguardarsi in attesa di recuperi.,[0/0]le tecniche per effettuare atterraggi con il vento anche forte in coda per poter atterrare comunque anche su piccole superfici circondate da eventuali ostacoli.,

